row_id,title,artist,album,section,audio_in,start,end,question,answer,Unnamed: 10
idd9f2e8,Stronger,Kanye West,Stronger (Int'l ECD Maxi),General,Kanye West - Stronger-PsO6ZnUZI0g.webm,0.0,3.0,Name the artist. ,Kayne West,0
id69b19c,Old Town Road (feat. Billy Ray Cyrus) - Remix,"Lil Nas X, Billy Ray Cyrus",Old Town Road,General,Lil Nas X - Old Town Road (feat. Billy Ray Cyrus) [Remix]-7ysFgElQtjI.webm,0.0,5.0,Name the song.,Old Town Road,0
id7aaa7a,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,"Daft Punk, Pharrell Williams, Nile Rodgers",Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],General,"Daft Punk - Get Lucky (Official Audio) ft. Pharrell Williams, Nile Rodgers-5NV6Rdv1a3I.webm",0.0,5.0,Name the song.,Get Lucky,0
id8171de,Ridin' Solo,Jason Derulo,Jason Derulo (Deluxe Audio),General,Jason Derulo - Ridin' Solo (Official Lyrics HD_HQ)-acWWb1Vxfg0.webm,0.0,6.0,Name the artist.,Jason Derulo,0
id8105b9,Hey Brother,Avicii,TRUE,General,Avicii - Hey Brother-6Cp6mKbRTQY.webm,0.0,4.0,Name the Artist.,Avicii,0
idaee9ea,Fast Car,"Jonas Blue, Dakota",Fast Car,General,Jonas Blue ft. Dakota - Fast Car Official Music Video-0wpuR68uw-8.webm,0.0,10.0,Name the song.,Fast car.,0
id22e5d1,Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),General,Nirvana - Smells Like Teen Spirit (Official Music Video)-hTWKbfoikeg.webm,0.0,9.0,Name the song.,Smells Like Teen Spirit,0
idd20438,Girls Just Want to Have Fun,Cyndi Lauper,She's So Unusual: A 30th Anniversary Celebration (Deluxe Edition),General,Cyndi Lauper - Girls Just Want To Have Fun (Official Video)-PIb6AZdTr-A.webm,0.0,11.0,Name the artist.,Cyndi Lauper,0
id08778b,Africa,TOTO,Toto IV,General,Toto - Africa (Official Music Video)-FTQbiNvZqaY.webm,2.0,8.0,Name the band.,Toto,0
ideb5573,Walk Like an Egyptian,The Bangles,The Essential Bangles,General,Walk Like An Egyptian-tMnGmoLS6zo.webm,0.0,10.0,Name the band.,The Bangles,0
idbbfbfe,Every Breath You Take,The Police,Every Breath You Take : The Classics,General,The Police - Every Breath You Take-OMOGaugKpzs.webm,0.0,5.0,Name the song.,Every Breath You Take,0
id3b6ed6,Karma Chameleon,Culture Club,At Worst...The Best Of Boy George And Culture Club,General,Culture Club - Karma Chameleon (Official Video)-JmcA9LIIXWw.webm,0.0,10.0,Name the lead singer (not the band).,Boy George,0
id0c50e9,Jolene,Dolly Parton,Jolene,General,Dolly Parton - Jolene (Audio)-Ixrje2rXLMA.webm,0.0,7.0,Name the singer.,Dolly Parton,0
id740a96,Crazy,Gnarls Barkley,St. Elsewhere,General,Gnarls Barkley - Crazy (Official Video)--N4jf6rtyuw.webm,0.0,2.5,Name the singer.,Gnarls Barkley,0
idee9cdc,September,"Earth, Wind & Fire",The Eternal Dance,General,"Earth, Wind & Fire - September (Official Music Video)-Gs069dndIYk.webm",0.0,12.0,Name the album that this song appeared on.,The Eternal Dance,0
idb52fe2,American Pie,Don McLean,The Best Of Don McLean,General,American Pie-iX_TFkut1PM.webm,0.0,4.0,Name the performer.,Don McLean,0
id98fbc0,Lean on Me,Bill Withers,Still Bill,General,Lean on Me-fOZ-MySzAac.webm,0.0,4.0,Name the singer.,Bill Withers,0
id4e5490,Good Vibrations - Remastered,The Beach Boys,Good Vibrations 40th Anniversary,General,GOOD VIBRATIONS (HD) THE BEACH BOYS-mdt0SOqPJcg.webm,4.0,7.0,Name the band.,The Beach Boys,0
idb527d3,Light My Fire,The Doors,The Doors,General,The Doors - Light My Fire-cq8k-ZbsXDI.webm,0.0,5.0,Name the city in which the lead singer of this band is buried.,Paris,0
idb52f1b,What A Wonderful World,Louis Armstrong,Hello Louis - The Hit Years (1963-1969),General,Louis Armstrong - What A Wonderful World (Lyrics)-A3yCcXgbKrE.webm,0.0,6.0,Name the song.,What a Wonderful World,0
id413fa3,Johnny B. Goode - Single Version,Chuck Berry,20th Century Masters: The Millennium Collection: Best Of Chuck Berry,General,Chuck Berry - Johnny B. Goode (Single)-tXba00vudss.m4a,0.0,6.0,Name the performer.,Chuck Berry,0
idcae3f1,Tequila (Original),The Champs,Tequila,General,Tequila - The Champs-3H6amDbAwlY.webm,0.0,10.0,Name the band.,The Champs,0
id133a4c,Uptown Funk (feat. Bruno Mars),"Mark Ronson, Bruno Mars",Uptown Special,General,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars-OPf0YbXqDm0.webm,0.0,10.0,Name the song.,Uptown Funk,0
idefe972,Royals,Lorde,Pure Heroine,General,Lorde ~ Royals ~ With Lyrics ~ Pure Heroine-4znHLOWm7pY.webm,0.0,4.0,Name the song.,Royals,0
id4fca9f,Moondance - 2013 Remaster,Van Morrison,Moondance (Deluxe Edition),General,Moondance (2013 Remaster)-7kfYOGndVfU.webm,0.0,7.0,Name the performer.,Van Morrison,0
id9396,Is This Love,Bob Marley & The Wailers,Kaya - Deluxe Edition,General,Bob Marley & The Wailers - Is This Love-cOJsK8qbAaA.webm,0.0,10.0,Name the song.,Is this Love,0
id9aebe3,My Generation - Mono Version,The Who,The Who Sings My Generation (U.S. Version),General,My Generation (Mono Version)-fRipFYoji2A.m4a,0.0,5.0,Name the song. ,My Generation,0
id465b17,Come Sail Away,Styx,The Grand Illusion,General,Come Sail Away-eYCFrcCqh7Q.webm,0.0,9.0,Name the band.,Styx,0
id4.4E+127,Walk This Way,Aerosmith,Toys In The Attic,General,Aerosmith - Walk This Way (Audio)-4c8O2n1Gfto.webm,0.0,9.0,Name the lead singer.,Steven Tyler,0
id5b40b2,Free Bird,Lynyrd Skynyrd,Pronounced' Leh-'Nerd 'Skin-'Nerd,General,Free Bird-CqnU_sJ8V-E.webm,0.0,10.0,Name the song.,Free Bird,0
id4c4a05,Margaritaville,Jimmy Buffett,Songs You Know By Heart,General,Jimmy Buffett - Margaritaville (with lyrics)-ue2-ZVxpVjc.webm,0.0,8.0,Name the song. ,Margaritaville,0
ida7e9d0,Cocaine,Eric Clapton,Slowhand 35th Anniversary (Super Deluxe),General,Eric Clapton - Cocaine + lyrics-3bEUaeG4wH4.webm,0.0,10.0,Name the performer.,Eric Clapton,0
id2e1108,Gold Digger,"Kanye West, Jamie Foxx",Late Registration,General,Kanye West - Gold Digger ft. Jamie Foxx-6vwNcNOTVzY.m4a,4.5,9.5,Name the song.,Gold Digger,0
id7444d5,I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),General,The Black Eyed Peas - I Gotta Feeling (Official Music Video)-uSD4vsh1zDA.webm,0.0,13.0,Name the band.,Black Eyed Peas,0
id782a00,Escape (The Pina Colada Song),Rupert Holmes,Partners In Crime,General,10. Rupert Holmes - Escape (The Piña Colada Song)-TazHNpt6OTo.m4a,0.0,10.0,Name the song (including both the main title and the part in parentheses),Escape (The Pina Colada Song),0
id5.061E+08,Ring of Fire,Johnny Cash,Johnny Cash - 16 Biggest Hits,General,Ring of Fire Johnny Cash-mIBTg7q9oNc.webm,4.0,12.0,"What does ""love"" make in this song?","""It makes a fiery ring""",0
idd010df,All About That Bass,Meghan Trainor,All About That Bass,General,Meghan Trainor - All About That Bass (Official Music Video)-7PCkvCPvDXk.webm,0.0,5.5,Name the singer.,Meghan Trainor,0
idd20506,Bridge Over Troubled Water,Simon & Garfunkel,Bridge Over Troubled Water,General,Simon & Garfunkel - Bridge Over Troubled Water (Audio)-4G-YQA_bsOU.webm,0.0,10.0,Name the song (title must be exact).,Bridge Over Troubled Water,0
idc7cf8a,Happy,Pharrell Williams,Despicable Me 2 (Original Motion Picture Soundtrack),General,Pharrell Williams - Happy (Official Music Video)-ZbZSe6N_BXs.webm,3.0,8.2,Name the film that this song was featured in. ,Despicable Me 2,0
idc933db,Go Your Own Way - 2004 Remaster,Fleetwood Mac,Rumours,General,Go Your Own Way (2004 Remaster)-DubafeFeJ7Y.webm,0.0,7.0,Name the song.,Go Your Own Way,0
id1d7766,One Way Or Another - Remastered,Blondie,One Way Or Another,General,One Way Or Another (Remastered)-Fnb1xYDViDs.webm,0.0,7.0,Name the group.,Blondie,0
id8fbb24,Holiday / Boulevard of Broken Dreams,Green Day,American Idiot,General,Holiday _ Boulevard of Broken Dreams-J0xe5DcnYSA.webm,0.0,5.0,Name the group.,Green Day,0
id41d6f8,Twist And Shout - Remastered 2009,The Beatles,Please Please Me (Remastered),General,Twist And Shout (Remastered 2009)-2RicaUqd9Hg.webm,0.0,5.0,Name the song.,Twist and Shout,0
idecd5b4,Shout,The Isley Brothers,Pure... '50s,General,The Isley Brothers - Shout-rWRsJ-mDU5o.webm,0.0,5.0,Name the group.,The Isley Brothers,0
id7f777a,Build Me Up Buttercup,The Foundations,Build Me Up Buttercup (The Complete Pye Collection),General,Build Me Up Buttercup-Nl_2iEP1Wts.m4a,0.0,6.0,Name the group.,The Foundations,0
idfdea7f,Wake Me Up Before You Go-Go,Wham!,Make It Big,General,Wham! - Wake Me Up Before You Go Go (Official HD Video)-ELflyACZXQQ.webm,0.0,4.0,Name the song.,Wake Me Up Before You Go-Go,0
id8f5b96,Pump It Up,Elvis Costello & The Attractions,This Year's Model,General,Elvis Costello & The Attractions - Pump It Up-3Y71iDvCYXA.webm,0.0,9.0,Name the artist.,Elvis Costello,0
id6942ec,Everyday I Write The Book,Elvis Costello & The Attractions,Punch The Clock,General,Elvis Costello & The Attractions - Everyday I Write The Book-V1d4r9awjKE.webm,0.0,10.0,Name the album on which this song appeared.,Punch the Clock,0
id92d0fb,What's Going On,Marvin Gaye,What's Going On,General,Marvin Gaye - What's Going On-H-kA3UtBj4M.webm,0.0,15.0,Name the artist.,Marvin Gaye,0
id90e40c,Theme From Shaft - Album - Remastered,Isaac Hayes,Shaft (Deluxe Edition),General,Theme From Shaft by Isaac Hayes from Shaft (Music From The Soundtrack)-uNJKmf6KTcU.webm,0.0,13.0,Name the artist.,Isaac Hayes,0
ide32ec6,Norwegian Wood (This Bird Has Flown) - Remastered 2009,The Beatles,Rubber Soul (Remastered),General,Norwegian Wood (This Bird Has Flown)-Y_V6y1ZCg_8.webm,0.0,5.0,Name the song (inclding both the main title and the part in parentheses).,Norwegian Wood (This Bird Has Flown),0
ide27f4b,I Want To Hold Your Hand - Remastered 2015,The Beatles,1 (Remastered),General,I Want To Hold Your Hand (Remastered 2015)-v1HDt1tknTc.webm,0.0,7.0,Name the song.,I Want to Hold Your Hand,0
id7de4ce,Blackbird - Remastered,The Beatles,The Beatles (Remastered),General,Blackbird (Remastered 2009)-Man4Xw8Xypo.webm,0.0,4.0,Name the song. ,Blackbird,0
id91a7fc,God Only Knows - Remastered,The Beach Boys,Pet Sounds (Original Mono & Stereo Mix Versions),General,God Only Knows (Remastered)-CWPo5SC3zik.m4a,0.0,7.0,Name the song.,God Only Knows,0
id0077fc,Is She Really Going Out With Him?,Joe Jackson,Look Sharp!,General,JOE JACKSON ★ Is She Really Going Out with Him 【HD】-6TzKSFbsh2Y.m4a,0.0,13.0,Name the performer.,Joe Jackson,0
id428796,Come On Eileen,Dexys Midnight Runners,Too Rye Ay,General,Come On Eileen-GbpnAGajyMc.webm,0.0,9.0,Name the band.,Dexys Midnight Runners,0
id5245be,The Logical Song - Remastered 2010,Supertramp,Breakfast In America (Deluxe Edition),General,The Logical Song-low6Coqrw9Y.m4a,0.0,8.0,Name the song.,The Logical Song,0
id5cfb9d,Rebel Rebel - 1999 Digital Remaster,David Bowie,Best Of Bowie,General,Rebel Rebel (1997 Remaster)-Wb3bfsuttdk.webm,0.0,9.0,Name the song.   ,Rebel Rebel,0
id7f33e8,King Kunta,Kendrick Lamar,To Pimp A Butterfly,General,Kendrick Lamar - King Kunta-hRK7PVJFbS8.webm,0.0,2.8,Name the album on which this song appeared.,To Pimp a Butterfly,0
id1c39ee,Grenade,Bruno Mars,Doo-Wops & Hooligans,General,01 - Bruno Mars - Grenade - [Doo-Wops & Hooligans]-aLAtJ0k98SI.webm,0.0,13.0,Name the song.,Grenade,0
idd0b4fc,The Safety Dance,Men Without Hats,Greatest,One Hit Wonders,Men Without Hats - Safety Dance (Official Music Video)-AjPau5QYtYs.webm,0.0,8.0,Name the band.,Men Without Hats,0
id444aef,Spirit In The Sky,Norman Greenbaum,Spirit In The Sky,One Hit Wonders,Spirit In The Sky Norman Greenbaum-AZQxH_8raCI.webm,0.0,10.0,Name the singer.,Norman Greenbaum,0
id59cb3c,Don't Worry Be Happy,Bobby McFerrin,20 #1's: One Hit Wonders,One Hit Wonders,Bobby McFerrin - Don't Worry Be Happy (Official Video)-d-diB65scQU.webm,0.0,5.0,Name the singer.,Bobby McFerrin,0
id9a4776,Somebody's Watching Me - Single Version,Rockwell,20 #1's: One Hit Wonders,One Hit Wonders,Rockwell - Somebody's Watching Me (Official Video)-7YvAYIJSSZY.webm,2.0,9.0,Name the singer.,Rockwell,0
id267ffa,Hey! Baby,Bruce Channel,20 #1's: One Hit Wonders,One Hit Wonders,Bruce Channel - Hey Baby-ik9dxkKriV0.webm,0.0,9.0,Name the singer.,Bruce Channel,0
